trNb,ptbMissedFlips,ptbFlipsOver17ms,dinTrDur,dinDiffMean,dinDiffStd,dinTrigOffset,trTrig,trFqTy,dinStimOnset,eTimeDIN2,eTimeDIN6,keypressMiss
1,0,0,7502,833.625,0.744023809142845,26,s2Lf,2,6700,835,4169,0
2,0,0,7503,833.625,1.18773493916542,25,s2Lf,2,20299,836,4169,0
3,0,0,7501,833.5,1.0690449676497,26,s2Rf,2,33400,835,4168,0
4,0,0,7502,833.5,1.19522860933439,26,s2Lf,2,47032,836,4169,0
5,0,0,7503,833.75,1.03509833901353,25,s2Rf,2,58948,836,4169,0
6,0,0,7502,833.625,1.18773493916542,26,s2Lf,2,71048,836,4169,0
7,0,0,7502,833.625,0.744023809142845,26,s2Rf,2,82881,835,4169,0
8,0,0,7503,833.625,1.18773493916542,25,s2Lf,2,93797,836,4170,0
9,0,0,7502,833.625,0.916125381312904,26,s2Rf,2,105764,835,4169,0
10,0,0,7503,833.625,1.50594061730772,25,s2Rf,2,117596,837,4170,0
11,0,0,7502,833.625,0.744023809142845,26,s2Rf,2,129313,835,4169,0
12,0,0,7503,833.625,1.59798980865694,25,s2Lf,2,139962,837,4170,0
13,0,0,7502,833.625,0.916125381312904,26,s2Rf,2,151313,835,4168,0
14,0,0,7503,833.625,1.06066017177982,25,s2Lf,2,164612,836,4169,0
15,0,0,7503,833.625,1.50594061730772,25,s2Lf,2,177061,837,4170,0
16,0,0,7502,833.625,1.18773493916542,26,s2Lf,2,187978,836,4169,0
17,0,0,7502,833.625,1.06066017177982,26,s2Rf,2,198161,836,4169,0
18,0,0,7502,833.625,1.18773493916542,25,s2Rf,2,208594,836,4169,0
19,0,0,7503,833.625,1.59798980865694,25,s2Rf,2,219860,837,4170,0
20,0,0,7502,833.5,0.925820099772551,26,s2Lf,2,231494,835,4169,0
21,0,0,7502,833.75,1.38873014965883,25,s1Rf,1,250609,837,4170,0
22,0,0,7503,833.625,1.50594061730772,25,s1Rf,1,263892,837,4170,0
23,0,0,7502,833.5,0.925820099772551,26,s1Rf,1,274976,835,4169,0
24,0,0,7502,833.625,0.744023809142845,26,s1Lf,1,286059,835,4169,0
25,0,0,7501,833.625,0.744023809142845,26,s1Rf,1,299342,835,4168,0
26,0,0,7503,833.625,1.06066017177982,26,s1Rf,1,311208,836,4169,0
27,0,0,7502,833.625,1.06066017177982,26,s1Lf,1,323158,836,4169,0
28,0,0,7503,833.75,1.48804761828569,25,s1Lf,1,335123,837,4170,0
29,0,0,7502,833.625,1.06066017177982,26,s1Rf,1,347007,836,4169,0
30,0,0,7503,833.75,1.48804761828569,25,s1Lf,1,358739,837,4170,0
31,0,0,7502,833.625,0.744023809142845,26,s1Rf,1,370473,835,4169,0
32,0,0,7502,833.625,1.06066017177982,26,s1Rf,1,381473,836,4169,0
33,0,0,7502,833.5,1.19522860933439,26,s1Lf,1,391089,836,4169,0
34,0,0,7502,833.75,1.16496474502144,26,s1Lf,1,401405,836,4169,0
35,0,0,7503,833.625,1.06066017177982,26,s1Lf,1,413038,836,4169,0
36,0,0,7503,833.625,1.06066017177982,26,s1Lf,1,425838,836,4169,0
37,0,0,7503,833.625,1.50594061730772,25,s1Rf,1,437437,837,4170,0
38,0,0,7502,833.625,0.744023809142845,26,s1Lf,1,448271,835,4169,0
39,0,0,7502,833.5,0.925820099772551,27,s1Rf,1,462821,835,4168,0
40,0,0,7503,833.625,1.06066017177982,25,s1Lf,1,474486,836,4170,0
