tr,trSta,fixDur,fixSta,fixEnd,rAOI,eTimeFixSta,eTimeFixEnd
1,3180998,7500,3180998,3188496,3,0,7498
2,3194598,7500,3194598,3202096,3,0,7498
3,3207698,7500,3207698,3215196,3,0,7498
4,3221332,7500,3221332,3228830,3,0,7498
5,3233248,7500,3233248,3240746,3,0,7498
6,3245350,7500,3245350,3252848,3,0,7498
7,3257182,7500,3257182,3264680,3,0,7498
8,3268100,7500,3268100,3275598,3,0,7498
9,3280066,7500,3280066,3287564,3,0,7498
10,3291900,7500,3291900,3299398,3,0,7498
11,3303616,7500,3303616,3311114,3,0,7498
12,3314268,7500,3314268,3321766,3,0,7498
13,3325618,7500,3325618,3333116,3,0,7498
14,3338918,7500,3338918,3346416,3,0,7498
15,3351368,7500,3351368,3358866,3,0,7498
16,3362284,7500,3362284,3369782,3,0,7498
17,3372468,7500,3372468,3379966,3,0,7498
18,3382902,7500,3382902,3390400,3,0,7498
19,3394168,7500,3394168,3401666,3,0,7498
20,3405802,7500,3405802,3413300,3,0,7498
21,3424920,7500,3424920,3432418,2,0,7498
22,3438204,7500,3438204,3445702,2,0,7498
23,3449288,7500,3449288,3456786,2,0,7498
24,3460370,7500,3460370,3467868,2,0,7498
25,3473654,7500,3473654,3481152,2,0,7498
26,3485522,7500,3485522,3493020,2,0,7498
27,3497472,7500,3497472,3504970,2,0,7498
28,3509438,7500,3509438,3516936,2,0,7498
29,3521322,7500,3521322,3528820,2,0,7498
30,3533056,7500,3533056,3540554,2,0,7498
31,3544790,7500,3544790,3552288,2,0,7498
32,3555790,7500,3555790,3563288,2,0,7498
33,3565406,7500,3565406,3572904,2,0,7498
34,3575724,7500,3575724,3583222,2,0,7498
35,3587358,7500,3587358,3594856,2,0,7498
36,3600158,7500,3600158,3607656,2,0,7498
37,3611758,7500,3611758,3619256,2,0,7498
38,3622592,7500,3622592,3630090,2,0,7498
39,3637142,7500,3637142,3644640,2,0,7498
40,3648808,7500,3648808,3656308,2,0,7500
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
