tr,trSta,fixDur,fixSta,fixEnd,rAOI,eTimeFixSta,eTimeFixEnd
1,3790176,7472,3790176,3797648,3,0,7472
2,3804108,7500,3804108,3811606,3,0,7498
3,3816708,7500,3816708,3824206,3,0,7498
4,3830610,7500,3830610,3838108,3,0,7498
5,3841010,7500,3841010,3848508,3,0,7498
6,3852610,7500,3852610,3860108,3,0,7498
7,3863760,7500,3863760,3871258,3,0,7498
8,3875876,7500,3875876,3883374,3,0,7498
9,3891544,7500,3891544,3899042,3,0,7498
10,3901878,7500,3901878,3909376,3,0,7498
11,3916562,7500,3916562,3924060,3,0,7498
12,3928244,7500,3928244,3935742,3,0,7498
13,3944246,7500,3944246,3951744,3,0,7498
14,3958196,7500,3958196,3965694,3,0,7498
15,3972696,7500,3972696,3980194,3,0,7498
16,3987562,7500,3987562,3995060,3,0,7498
17,3998964,7500,3998964,4006462,3,0,7498
18,4010246,7500,4010246,4017744,3,0,7498
19,4022130,7500,4022130,4029628,3,0,7498
20,4038164,7500,4038164,4045662,3,0,7498
21,4114466,7500,4114466,4121964,2,0,7498
22,4128332,7500,4128332,4135830,2,0,7498
23,4142984,7500,4142984,4150482,2,0,7498
24,4157750,7500,4157750,4165248,2,0,7498
25,4171134,7500,4171134,4178632,2,0,7498
26,4185968,7500,4185968,4193466,2,0,7498
27,4202152,7500,4202152,4209650,2,0,7498
28,4215868,7500,4215868,4223366,2,0,7498
29,4231018,7500,4231018,4238516,2,0,7498
30,4243936,7500,4243936,4251434,2,0,7498
31,4261302,7500,4261302,4268800,2,0,7498
32,4275070,7500,4275070,4282568,2,0,7498
33,4287654,7500,4287654,4295152,2,0,7498
34,4306288,7500,4306288,4313786,2,0,7498
35,4322088,7500,4322088,4329586,2,0,7498
36,4331672,7500,4331672,4339170,2,0,7498
37,4345572,7500,4345572,4353070,2,0,7498
38,4362388,7500,4362388,4369886,2,0,7498
39,4374106,7500,4374106,4381604,2,0,7498
40,4390006,3540,4390006,4393546,2,0,3540
40,4390006,3814,4393692,4397506,2,3686,7500
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
