keypressFaceRota1,keypressFaceRota2,rtFaceRota1,rtFaceRota2,tr,trTy,nbPrs,nbCyPr1,nbCyBlnk,nbCyPr2,trTyDog,nbFqs,trTyFq,fqLoc,fqFace,cueFq,cueLoc,nbCyCue,nbCyExt,nbCyRota,cyStaSeq,cyEndPr1C,cyEndPr1A,cyEndBlnk,cyEndPr2C,cyEndPr2A,cyEndSeq,cyEndTr,cyStaRota,cyEndCue,cyEndFadeIn,cyEndExp,cySendEvt,cyEndKbCk1,cyEndKbCk2
1,1,0.31671520000009,0.350047000000359,1,1,1,175,0,0,0,1,2,Left,1,1,Left,0,0,20,1,84,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.433375999999953,0.316711599999962,2,2,1,190,0,0,0,1,2,Left,1,1,Left,0,0,20,1,102,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.366710100000091,0.333363799999915,3,1,1,175,0,0,0,1,2,Left,1,2,Left,0,0,20,1,85,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.416705699999966,0.333378499999981,4,2,1,190,0,0,0,1,2,Right,1,2,Right,0,0,20,1,101,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.416705699999966,0.366697800000111,5,1,1,175,0,0,0,1,2,Left,2,2,Left,0,0,5,1,94,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.316697400000066,0.333378200000425,6,2,1,190,0,0,0,1,2,Right,1,2,Right,0,0,20,1,93,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.383382600000004,0.366699500000323,7,1,1,175,0,0,0,1,2,Right,2,2,Right,0,0,5,1,73,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.333370299999842,0.366726500000368,8,2,1,190,0,0,0,1,2,Right,1,1,Left,0,0,5,1,90,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.283355900000061,0.33339530000012,9,1,1,175,0,0,0,1,2,Left,1,2,Left,0,0,5,1,86,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.383378600000015,0.350089200000184,10,2,1,190,0,0,0,1,2,Right,1,1,Right,0,0,5,1,88,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.300045099999807,0.350046799999745,11,2,1,190,0,0,0,1,2,Right,1,1,Right,0,0,5,1,86,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.266779699999915,0.350052000000233,12,1,1,175,0,0,0,1,2,Left,2,1,Left,0,0,5,1,98,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.383369700000003,0.48338079999985,13,1,1,175,0,0,0,1,2,Right,1,1,Left,0,0,5,1,86,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.283368599999903,0.550085500000023,14,2,1,190,0,0,0,1,2,Left,1,2,Right,0,0,20,1,107,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.283378300000095,0.283377399999608,15,2,1,190,0,0,0,1,2,Left,2,1,Right,0,0,5,1,92,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.266694400000233,0.350038300000051,16,2,1,190,0,0,0,1,2,Left,1,2,Right,0,0,5,1,103,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.350048299999798,0.333401200000026,17,1,1,175,0,0,0,1,2,Right,1,2,Left,0,0,20,1,85,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.26671159999978,0.31677609999997,18,1,1,175,0,0,0,1,2,Right,2,1,Right,0,0,5,1,98,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.333353200000147,0.333369299999958,19,1,1,175,0,0,0,1,2,Right,2,2,Right,0,0,20,1,96,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.483369300000049,0.283351900000071,20,1,1,175,0,0,0,1,2,Left,1,2,Right,0,0,20,1,84,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.316710400000375,0.316713199999867,21,2,1,190,0,0,0,1,1,Right,2,1,Left,0,0,20,1,86,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.316738100000293,0.300047900000209,22,2,1,190,0,0,0,1,1,Right,2,2,Left,0,0,5,1,104,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.266704700000446,0.0167313000001741,23,1,1,175,0,0,0,1,1,Left,1,2,Left,0,0,5,1,102,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.266713600000003,0.350068100000499,24,2,1,190,0,0,0,1,1,Right,2,1,Right,0,0,5,1,90,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.283383800000593,0.383380000000216,25,1,1,175,0,0,0,1,1,Right,2,1,Right,0,0,20,1,93,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.416701500000272,0.316709799999444,26,1,1,175,0,0,0,1,1,Right,1,1,Left,0,0,20,1,86,175,451,451,451,450,451,390,0,50,400,451,235,450
