trNb,ptbMissedFlips,ptbFlipsOver17ms,dinTrDur,dinDiffMean,dinDiffStd,dinTrigOffset,trTrig,trFqTy,dinStimOnset,eTimeDIN2,eTimeDIN6,keypressMiss
1,0,0,7502,833.75,1.03509833901353,25,s2Lf,2,6303,836,4170,0
2,0,0,7502,833.5,0.755928946018454,26,s2Lf,2,20237,835,4168,0
3,0,0,7502,833.625,1.18773493916542,25,s2Lf,2,32836,836,4168,0
4,0,0,7503,833.75,1.03509833901353,25,s2Rf,2,46735,836,4169,0
5,0,0,7503,833.625,1.18773493916542,25,s2Lf,2,57135,836,4170,0
6,0,0,7502,833.625,1.06066017177982,25,s2Rf,2,68735,836,4169,0
7,0,0,7502,833.625,0.744023809142845,26,s2Rf,2,79885,835,4169,0
8,0,0,7502,833.625,1.18773493916542,25,s2Rf,2,92001,836,4169,0
9,0,0,7503,833.625,1.50594061730772,25,s2Lf,2,107667,837,4169,0
10,0,0,7501,833.5,0.925820099772551,26,s2Rf,2,118001,835,4169,0
11,0,0,7503,833.75,1.03509833901353,25,s2Rf,2,132683,836,4169,0
12,0,0,7503,833.625,1.06066017177982,25,s2Lf,2,144366,836,4169,0
13,0,0,7503,833.625,0.744023809142845,26,s2Rf,2,160366,835,4169,0
14,0,0,7503,833.75,1.03509833901353,25,s2Lf,2,174315,836,4170,0
15,0,0,7502,833.625,1.06066017177982,26,s2Lf,2,188815,836,4169,0
16,0,0,7503,833.625,0.744023809142845,25,s2Lf,2,203681,835,4169,0
17,0,0,7503,833.625,0.744023809142845,26,s2Rf,2,215081,835,4169,0
18,0,0,7502,833.625,1.18773493916542,26,s2Rf,2,226364,836,4168,0
19,0,0,7502,833.625,1.06066017177982,26,s2Rf,2,238247,836,4169,0
20,0,0,7502,833.625,1.06066017177982,26,s2Lf,2,254280,836,4169,0
21,0,0,7502,833.625,0.744023809142845,26,s1Rf,1,330578,835,4169,0
22,0,0,7502,833.625,1.18773493916542,26,s1Rf,1,344444,836,4168,0
23,0,0,7502,833.5,0.925820099772551,26,s1Lf,1,359094,835,4169,0
24,0,0,7503,833.625,1.06066017177982,26,s1Rf,1,373860,836,4169,0
25,0,0,7502,833.625,0.744023809142845,26,s1Rf,1,387243,835,4169,0
26,0,0,7502,833.625,1.18773493916542,26,s1Rf,1,402076,836,4168,0
27,0,0,7503,833.625,1.40788595317336,25,s1Lf,1,418258,837,4170,0
28,0,0,7502,833.5,0.925820099772551,26,s1Rf,1,431975,835,4169,0
29,0,0,7503,833.625,1.40788595317336,25,s1Lf,1,447124,837,4169,0
30,0,0,7502,833.5,0.925820099772551,26,s1Rf,1,460041,835,4169,0
31,0,0,7502,833.75,1.03509833901353,26,s1Rf,1,477407,836,4169,0
32,0,0,7501,833.5,0.925820099772551,27,s1Lf,1,491174,835,4169,0
33,0,0,7500,833.625,0.916125381312904,27,s1Lf,1,503757,835,4168,0
34,0,0,7502,833.625,1.59798980865694,25,s1Lf,1,522388,837,4170,0
35,0,0,7503,833.625,1.59798980865694,25,s1Lf,1,538188,837,4168,0
36,0,0,7502,833.625,1.30247018062932,25,s1Lf,1,547771,836,4169,0
37,0,0,7503,833.625,0.744023809142845,25,s1Rf,1,561670,835,4169,0
38,0,0,7503,833.75,1.16496474502144,24,s1Lf,1,578486,836,4169,0
39,0,0,7503,833.75,1.48804761828569,24,s1Rf,1,590202,837,4170,0
40,0,0,7502,833.5,0.925820099772551,26,s1Lf,1,606103,835,4169,0
