keypressFaceRota1,keypressFaceRota2,rtFaceRota1,rtFaceRota2,tr,trTy,nbPrs,nbCyPr1,nbCyBlnk,nbCyPr2,trTyDog,nbFqs,trTyFq,fqLoc,fqFace,cueFq,cueLoc,nbCyCue,nbCyExt,nbCyRota,cyStaSeq,cyEndPr1C,cyEndPr1A,cyEndBlnk,cyEndPr2C,cyEndPr2A,cyEndSeq,cyEndTr,cyStaRota,cyEndCue,cyEndFadeIn,cyEndExp,cySendEvt,cyEndKbCk1,cyEndKbCk2
0,1,-11941.571485,0.383374700000786,1,2,1,190,0,0,0,1,1,Right,2,2,Left,0,0,20,1,93,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.316713899999741,0.333345300001383,2,1,1,175,0,0,0,1,1,Right,2,1,Right,0,0,5,1,100,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.333420799999658,0.366708499999731,3,2,1,190,0,0,0,1,1,Right,1,2,Right,0,0,20,1,92,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.366785099999106,0.333541899999545,4,2,1,190,0,0,0,1,1,Left,1,1,Right,0,0,20,1,103,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.333370800000921,0.316706200001136,5,2,1,190,0,0,0,1,1,Left,2,1,Left,0,0,20,1,92,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.316725000000588,0.316711600000417,6,2,1,190,0,0,0,1,1,Left,1,2,Right,0,0,20,1,105,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.366696499999307,0.316717400000925,7,1,1,175,0,0,0,1,1,Right,2,1,Right,0,0,5,1,96,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.383380299999772,0.316713199999867,8,1,1,175,0,0,0,1,1,Left,2,1,Right,0,0,5,1,84,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.333376000000499,0.283379700000296,9,1,1,175,0,0,0,1,1,Left,1,1,Right,0,0,5,1,79,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.333377799999653,0.333373999999822,10,1,1,175,0,0,0,1,1,Left,1,1,Left,0,0,5,1,97,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.266663700000208,0.350059300000794,11,2,1,190,0,0,0,1,1,Right,1,1,Left,0,0,20,1,109,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.383383200000026,0.31670750000012,12,1,1,175,0,0,0,1,1,Right,1,2,Right,0,0,20,1,83,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.383372300000701,0.400045300000784,13,2,1,190,0,0,0,1,1,Right,2,2,Right,0,0,5,1,100,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.400041999999303,0.31671230000029,14,1,1,175,0,0,0,1,1,Left,2,2,Left,0,0,20,1,86,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.3500468000002,0.350055599999905,15,2,1,190,0,0,0,1,1,Left,1,1,Left,0,0,5,1,105,190,451,451,451,450,451,375,0,50,400,451,250,435
