tr,trSta,fixDur,fixSta,fixEnd,rAOI,eTimeFixSta,eTimeFixEnd
1,11898800,5582,11900506,11906088,2,1706,7288
2,11910100,7500,11910100,11917598,2,0,7498
3,11919950,7500,11919950,11927448,2,0,7498
4,11929800,7500,11929800,11937298,2,0,7498
5,11939750,7500,11939750,11947248,2,0,7498
6,11949300,7442,11949300,11956742,2,0,7442
7,11959566,7500,11959566,11967064,2,0,7498
8,11969150,7500,11969150,11976648,2,0,7498
9,11978450,7500,11978450,11985948,2,0,7498
10,11987734,7500,11987734,11995232,2,0,7498
11,11997418,7500,11997418,12004916,2,0,7498
12,12007118,7500,12007118,12014616,2,0,7498
13,12017402,7500,12017402,12024900,2,0,7498
14,12030502,7500,12030502,12038000,2,0,7498
15,12040802,7500,12040802,12048300,2,0,7498
16,12049670,7486,12049670,12057156,2,0,7486
17,12059220,7500,12059220,12066718,2,0,7498
18,12069202,7500,12069202,12076700,2,0,7498
19,12078420,7500,12078420,12085918,2,0,7498
20,12088786,7500,12088786,12096284,2,0,7498
21,12101604,7500,12101604,12109102,3,0,7498
22,12111170,7500,12111170,12118668,3,0,7498
23,12121020,7500,12121020,12128518,3,0,7498
24,12130472,7426,12130472,12137898,3,0,7426
25,12141804,7242,12142062,12149302,3,258,7498
26,12151072,7500,12151072,12158570,3,0,7498
27,12160822,7500,12160822,12168320,3,0,7498
28,12170456,7500,12170456,12177954,3,0,7498
29,12179672,7500,12179672,12187170,3,0,7498
30,12189740,7500,12189740,12197238,3,0,7498
31,12200140,7500,12200140,12207638,3,0,7498
32,12212224,7500,12212224,12219722,3,0,7498
33,12222040,6760,12222040,12228800,3,0,6760
34,12232090,7500,12232090,12239588,3,0,7498
35,12243274,7500,12243274,12250772,3,0,7498
36,12252940,7500,12252940,12260438,3,0,7498
37,12263258,7500,12263258,12270756,3,0,7498
38,12273458,7400,12273458,12280858,3,0,7400
39,12286042,7500,12286042,12293540,3,0,7498
40,12295876,7500,12295876,12303376,3,0,7500
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
