trNb,ptbMissedFlips,ptbFlipsOver17ms,dinTrDur,dinDiffMean,dinDiffStd,dinTrigOffset,trTrig,trFqTy,dinStimOnset,eTimeDIN2,eTimeDIN6,keypressMiss
1,0,0,7502,833.625,1.06066017177982,26,s1Rf,1,6884,836,4169,1
2,0,0,7503,833.75,1.03509833901353,26,s1Rf,1,18183,836,4169,0
3,0,0,7503,833.75,1.03509833901353,26,s1Rf,1,28033,836,4169,0
4,0,0,7502,833.625,1.18773493916542,26,s1Lf,1,37883,836,4170,0
5,0,0,7502,833.625,0.744023809142845,26,s1Lf,1,47833,835,4169,0
6,0,0,7501,833.625,0.744023809142845,27,s1Lf,1,57383,835,4169,0
7,0,0,7501,833.5,0.755928946018454,27,s1Rf,1,67650,835,4168,0
8,0,0,7503,833.625,0.744023809142845,26,s1Lf,1,77232,835,4169,0
9,0,0,7501,833.5,0.755928946018454,27,s1Lf,1,86532,835,4169,0
10,0,0,7502,833.5,0.755928946018454,27,s1Lf,1,95815,834,4169,0
11,0,0,7503,833.875,1.45773797371133,25,s1Rf,1,105496,837,4170,0
12,0,0,7502,833.5,0.755928946018454,27,s1Rf,1,115198,834,4169,0
13,0,0,7503,833.875,1.64208056179609,25,s1Rf,1,125479,837,4169,0
14,0,0,7503,833.75,1.03509833901353,25,s1Lf,1,138579,836,4169,0
15,0,0,7502,833.625,1.18773493916542,25,s1Lf,1,148879,836,4170,0
16,0,0,7502,833.625,0.744023809142845,26,s1Lf,1,157746,835,4169,0
17,0,0,7502,833.75,1.03509833901353,25,s1Lf,1,167295,836,4169,0
18,0,0,7503,833.625,1.06066017177982,25,s1Rf,1,177278,836,4169,0
19,0,0,7503,833.75,1.48804761828569,25,s1Rf,1,186494,837,4169,0
20,0,0,7502,833.625,1.06066017177982,26,s1Rf,1,196861,836,4169,0
21,0,0,7503,833.625,1.40788595317336,25,s2Rf,2,209677,837,4169,0
22,0,0,7502,833.5,1.19522860933439,26,s2Lf,2,219244,836,4169,0
23,0,0,7503,833.75,1.48804761828569,25,s2Lf,2,229093,837,4169,0
24,0,0,7503,833.625,1.06066017177982,25,s2Lf,2,238543,836,4169,0
25,0,0,7503,833.625,1.18773493916542,25,s2Rf,2,249876,836,4169,0
26,0,0,7503,833.75,1.03509833901353,25,s2Lf,2,259142,836,4170,0
27,0,0,7503,833.75,1.03509833901353,25,s2Lf,2,268892,836,4170,0
28,0,0,7503,833.625,1.50594061730772,25,s2Rf,2,278525,837,4169,0
29,0,0,7502,833.5,1.19522860933439,26,s2Rf,2,287742,836,4169,0
30,0,0,7501,833.5,0.755928946018454,27,s2Lf,2,297809,835,4168,0
31,0,0,7503,833.625,0.744023809142845,26,s2Rf,2,308208,835,4169,0
32,0,0,7502,833.625,1.06066017177982,26,s2Lf,2,320291,836,4169,0
33,0,0,7502,833.5,0.925820099772551,26,s2Lf,2,330108,835,4168,0
34,0,0,7502,833.625,1.06066017177982,26,s2Rf,2,340157,836,4169,0
35,0,0,7501,833.5,0.925820099772551,27,s2Rf,2,351341,835,4169,0
36,0,0,7503,833.75,1.03509833901353,25,s2Rf,2,361006,836,4170,0
37,0,0,7503,833.625,0.744023809142845,26,s2Rf,2,371323,835,4169,0
38,0,0,7502,833.5,1.0690449676497,26,s2Lf,2,381523,835,4169,0
39,0,0,7502,833.5,0.925820099772551,26,s2Lf,2,394106,835,4169,0
40,0,0,7502,833.625,0.744023809142845,26,s2Rf,2,403939,835,4169,0
