tr,intNum,intDur_Ms,intDurCA_Ms,intDurOA_Ms
1,0,0,0,0
2,0,0,0,0
3,1,104,0,0
4,2,106,0,0
5,0,0,0,0
6,3,208,0,0
7,4,320,0,0
8,5,426,0,0
9,6,534,0,0
10,0,0,0,0
11,7,660,0,0
12,0,0,0,0
13,8,780,0,0
14,9,930,0,0
15,10,1076,0,0
16,11,1238,0,0
17,12,1386,0,0
18,0,0,0,0
19,0,0,0,0
20,13,1556,0,0
21,14,1690,0,0
22,0,0,0,0
23,0,0,0,0
24,1,122,0,0
25,2,236,0,0
26,3,368,0,0
27,0,0,0,0
28,4,492,0,0
29,5,598,0,0
30,6,682,84,0
31,0,0,0,0
32,1,144,0,0
33,2,306,0,0
34,3,458,0,0
35,4,676,0,0
36,5,836,0,0
37,6,992,0,0
38,7,1124,0,0
39,9,1356,0,94
40,0,0,0,0
