keypressFaceRota1,keypressFaceRota2,rtFaceRota1,rtFaceRota2,tr,trTy,nbPrs,nbCyPr1,nbCyBlnk,nbCyPr2,trTyDog,nbFqs,trTyFq,fqLoc,fqFace,cueFq,cueLoc,nbCyCue,nbCyExt,nbCyRota,cyStaSeq,cyEndPr1C,cyEndPr1A,cyEndBlnk,cyEndPr2C,cyEndPr2A,cyEndSeq,cyEndTr,cyStaRota,cyEndCue,cyEndFadeIn,cyEndExp,cySendEvt,cyEndKbCk1,cyEndKbCk2
1,1,0.466708400000243,0.350053800000296,1,1,1,175,0,0,0,1,1,Right,2,2,Left,0,0,20,1,98,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.350216600000294,0.300064600000042,2,2,1,190,0,0,0,1,1,Right,1,2,Left,0,0,20,1,93,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.350075099999685,0.333396199999697,3,1,1,175,0,0,0,1,1,Right,2,1,Right,0,0,5,1,100,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.316690699999981,0.350048199999947,4,2,1,190,0,0,0,1,1,Left,1,2,Right,0,0,20,1,92,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.366707200000292,0.51670009999998,5,2,1,190,0,0,0,1,1,Right,1,1,Right,0,0,20,1,103,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.31664069999988,0.350046400000338,6,1,1,175,0,0,0,1,1,Left,2,1,Left,0,0,20,1,85,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.400034400000095,0.333388600000035,7,2,1,190,0,0,0,1,1,Left,1,2,Right,0,0,20,1,105,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.383383099999719,0.283366000000115,8,1,1,175,0,0,0,1,1,Right,2,1,Right,0,0,5,1,96,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.383366399999886,0.350042600000052,9,1,1,175,0,0,0,1,1,Left,2,1,Right,0,0,5,1,84,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.400054900000214,0.366700300000048,10,1,1,175,0,0,0,1,1,Left,1,1,Right,0,0,5,1,79,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.400037899999916,0.316712800000005,11,1,1,175,0,0,0,1,1,Left,1,1,Left,0,0,5,1,97,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.3834339,0.316713900000195,12,2,1,190,0,0,0,1,1,Right,1,1,Left,0,0,20,1,109,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.350058799999715,0.333374499999991,13,1,1,175,0,0,0,1,1,Right,1,2,Right,0,0,20,1,83,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.533369200000379,0.366694100000132,14,1,1,175,0,0,0,1,1,Right,2,2,Right,0,0,5,1,93,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.416710200000125,0.316713100000015,15,2,1,190,0,0,0,1,1,Left,2,2,Left,0,0,20,1,93,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.450022700000318,0.450034899999991,16,2,1,190,0,0,0,1,1,Left,1,1,Left,0,0,5,1,105,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.400036700000328,0.316680999999789,17,2,1,190,0,0,0,1,1,Left,1,1,Right,0,0,5,1,103,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.366716099999849,0.333372400000371,18,1,1,175,0,0,0,1,1,Left,1,1,Right,0,0,20,1,78,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.30004450000024,0.38342079999984,19,2,1,190,0,0,0,1,1,Right,2,2,Right,0,0,5,1,106,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.383371700000225,0.350059699999747,20,1,1,175,0,0,0,1,1,Right,1,1,Left,0,0,20,1,103,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.333371100000022,0.300041500000134,21,2,1,190,0,0,0,1,2,Right,2,1,Left,0,0,5,1,95,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.433372999999847,0.516680599999745,22,2,1,190,0,0,0,1,2,Left,2,1,Left,0,0,5,1,107,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.383374300000014,0.433374400000048,23,1,1,175,0,0,0,1,2,Left,1,2,Left,0,0,20,1,91,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.45003080000015,0.350047300000369,24,1,1,175,0,0,0,1,2,Left,1,2,Right,0,0,5,1,77,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.600031500000114,0.366711499999838,25,2,1,190,0,0,0,1,2,Left,2,2,Left,0,0,5,1,86,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.333372399999917,0.333408399999826,26,1,1,175,0,0,0,1,2,Left,1,2,Left,0,0,5,1,85,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.433367900000121,0.333380399999896,27,1,1,175,0,0,0,1,2,Right,1,2,Left,0,0,20,1,96,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.466766900000039,0.350034999999934,28,2,1,190,0,0,0,1,2,Right,1,1,Right,0,0,20,1,105,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.516706899999917,0.416707600000336,29,2,1,190,0,0,0,1,2,Left,2,2,Right,0,0,20,1,104,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.366737600000306,0.350050200000169,30,2,1,190,0,0,0,1,2,Right,2,1,Left,0,0,5,1,89,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.416728299999704,0.300041500000134,31,2,1,190,0,0,0,1,2,Left,2,2,Left,0,0,20,1,96,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.616689999999835,0.366706800000429,32,1,1,175,0,0,0,1,2,Left,1,1,Left,0,0,5,1,75,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.50003579999975,0.383384600000227,33,2,1,190,0,0,0,1,2,Right,2,1,Right,0,0,20,1,83,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.350046999999904,0.316696999999749,34,1,1,175,0,0,0,1,2,Right,1,2,Left,0,0,5,1,77,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.566717100000005,0.333344200000283,35,1,1,175,0,0,0,1,2,Right,2,2,Right,0,0,20,1,94,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.383390699999836,0.283394900000076,36,1,1,175,0,0,0,1,2,Right,2,1,Left,0,0,5,1,88,175,451,451,451,450,451,375,0,50,400,451,235,435
