tr,trSta,fixDur,fixSta,fixEnd,rAOI,eTimeFixSta,eTimeFixEnd
1,4845445,5326,4845445,4850771,2,0,5326
2,4878495,7500,4878495,4885993,2,0,7498
3,4896097,7500,4896097,4903595,2,0,7498
4,4910047,7500,4910047,4917545,2,0,7498
5,4923363,7500,4923363,4930861,2,0,7498
6,4936831,7500,4936831,4944329,2,0,7498
7,4948715,7500,4948715,4956213,2,0,7498
8,4960615,7500,4960615,4968113,2,0,7498
9,4974499,7500,4974499,4981997,2,0,7498
10,4991115,7500,4991115,4998613,2,0,7498
11,5004565,7500,5004565,5012063,2,0,7498
12,5016599,7500,5016599,5024097,2,0,7498
13,5027717,7500,5027717,5035215,2,0,7498
14,5040317,7394,5040317,5047711,2,0,7394
15,5053649,7500,5053649,5061147,2,0,7498
16,5065233,7500,5065233,5072731,2,0,7498
17,5077701,7500,5077701,5085199,2,0,7498
19,5103185,7500,5103185,5110683,2,0,7498
20,5116635,7500,5116635,5124133,2,0,7498
21,5159835,3382,5159835,5163217,3,0,3382
21,5159835,3818,5163517,5167333,3,3682,7498
22,5172753,7500,5172753,5180251,3,0,7498
23,5184169,7500,5184169,5191667,3,0,7498
24,5197371,7500,5197371,5204869,3,0,7498
25,5209471,7500,5209471,5216969,3,0,7498
26,5223271,7500,5223271,5230769,3,0,7498
27,5236521,7500,5236521,5244019,3,0,7498
28,5250505,7500,5250505,5258003,3,0,7498
29,5263689,7500,5263689,5271187,3,0,7498
30,5276289,7500,5276289,5283787,3,0,7498
31,5288139,7500,5288139,5295637,3,0,7498
32,5300473,7500,5300473,5307971,3,0,7498
33,5315457,7500,5315457,5322955,3,0,7498
34,5331073,7500,5331073,5338571,3,0,7498
35,5342807,7500,5342807,5350305,3,0,7498
36,5356225,7500,5356225,5363723,3,0,7498
37,5368991,7500,5368991,5376489,3,0,7498
38,5383309,7500,5383309,5390807,3,0,7498
39,5396575,7500,5396575,5404073,3,0,7498
40,5412725,7500,5412725,5420225,3,0,7500
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
