keypressFaceRota1,keypressFaceRota2,rtFaceRota1,rtFaceRota2,tr,trTy,nbPrs,nbCyPr1,nbCyBlnk,nbCyPr2,trTyDog,nbFqs,trTyFq,fqLoc,fqFace,cueFq,cueLoc,nbCyCue,nbCyExt,nbCyRota,cyStaSeq,cyEndPr1C,cyEndPr1A,cyEndBlnk,cyEndPr2C,cyEndPr2A,cyEndSeq,cyEndTr,cyStaRota,cyEndCue,cyEndFadeIn,cyEndExp,cySendEvt,cyEndKbCk1,cyEndKbCk2
1,1,0.383504899999025,0.350022000000536,1,2,1,190,0,0,0,1,1,Left,2,1,Left,0,0,20,1,82,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.333390199999485,0.333387500000754,2,2,1,190,0,0,0,1,1,Left,1,1,Left,0,0,5,1,100,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.316723700001603,0.300064600000042,3,1,1,175,0,0,0,1,1,Right,1,1,Right,0,0,20,1,74,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.316710799999782,0.316712100000586,4,2,1,190,0,0,0,1,1,Left,1,2,Right,0,0,20,1,101,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.266720399999031,0.333375399999568,5,2,1,190,0,0,0,1,1,Left,1,2,Right,0,0,5,1,93,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.316703300000881,0.266715199999453,6,2,1,190,0,0,0,1,1,Right,2,2,Right,0,0,5,1,107,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.316727700001138,0.316704099999697,7,1,1,175,0,0,0,1,1,Left,2,2,Right,0,0,20,1,96,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.300057799999195,0.333422899999277,8,2,1,190,0,0,0,1,1,Left,1,2,Left,0,0,5,1,86,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.316706499999782,0.316706300000078,9,2,1,190,0,0,0,1,1,Right,2,1,Right,0,0,5,1,106,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.350048300000708,0.283287100000962,10,1,1,175,0,0,0,1,1,Left,1,2,Left,0,0,5,1,83,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.316712199999529,0.300091099999918,11,1,1,175,0,0,0,1,1,Left,2,2,Left,0,0,5,1,89,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.31681159999971,0.350226399999883,12,2,1,190,0,0,0,1,1,Right,2,1,Left,0,0,5,1,87,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.316687299999103,0.316732900000716,13,1,1,175,0,0,0,1,1,Left,2,1,Left,0,0,5,1,102,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.28337669999928,0.366715300000578,14,2,1,190,0,0,0,1,1,Right,1,2,Left,0,0,5,1,96,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.383402100000239,0.28337079999983,15,2,1,190,0,0,0,1,1,Right,2,1,Left,0,0,5,1,104,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.316685899999356,0.350026099999013,16,1,1,175,0,0,0,1,1,Right,1,1,Right,0,0,5,1,98,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.333381600001303,0.283408200000849,17,1,1,175,0,0,0,1,1,Right,1,1,Left,0,0,5,1,85,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.450042699998448,0.266761900000347,18,2,1,190,0,0,0,1,1,Right,1,2,Left,0,0,5,1,96,190,451,451,451,450,451,375,0,50,400,451,250,435
