tr,trSta,fixDur,fixSta,fixEnd,rAOI,eTimeFixSta,eTimeFixEnd
1,5040704,7500,5040704,5048202,3,0,7498
2,5052836,7500,5052836,5060334,3,0,7498
3,5064870,7500,5064870,5072368,3,0,7498
4,5077904,7500,5077904,5085402,3,0,7498
5,5090788,7500,5090788,5098286,3,0,7498
6,5103554,7500,5103554,5111052,3,0,7498
7,5115154,7500,5115154,5122652,3,0,7498
8,5126954,7500,5126954,5134452,3,0,7498
9,5138622,7500,5138622,5146120,3,0,7498
10,5150138,7500,5150138,5157636,3,0,7498
11,5161922,7500,5161922,5169420,3,0,7498
12,5172640,7500,5172640,5180138,3,0,7498
13,5184572,7500,5184572,5192070,3,0,7498
14,5195756,7500,5195756,5203254,3,0,7498
15,5207524,7438,5207524,5214962,3,0,7438
16,5222140,7500,5222140,5229638,3,0,7498
17,5233842,7500,5233842,5241340,3,0,7498
18,5243792,7500,5243792,5251290,3,0,7498
19,5256324,7500,5256324,5263822,3,0,7498
20,5267058,7500,5267058,5274556,3,0,7498
21,5283126,7500,5283126,5290624,2,0,7498
22,5292626,7500,5292626,5300124,2,0,7498
23,5302910,7500,5302910,5310408,2,0,7498
24,5313260,7500,5313260,5320758,2,0,7498
25,5324326,7500,5324326,5331824,2,0,7498
26,5335676,7500,5335676,5343174,2,0,7498
27,5345276,7500,5345276,5352774,2,0,7498
28,5355744,7500,5355744,5363242,2,0,7498
29,5366660,7500,5366660,5374158,2,0,7498
30,5376262,7086,5376676,5383760,2,414,7498
31,5386044,7500,5386044,5393542,2,0,7498
32,5396594,7500,5396594,5404092,2,0,7498
33,5407528,7500,5407528,5415026,2,0,7498
34,5417078,7500,5417078,5424576,2,0,7498
35,5426596,7500,5426596,5434094,2,0,7498
36,5439362,7500,5439362,5446860,2,0,7498
37,5449462,7500,5449462,5456960,2,0,7498
38,5459096,7500,5459096,5466594,2,0,7498
39,5468196,7500,5468196,5475694,2,0,7498
40,5477980,7500,5477980,5485480,2,0,7500
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
