keypressFaceRota1,keypressFaceRota2,rtFaceRota1,rtFaceRota2,tr,trTy,nbPrs,nbCyPr1,nbCyBlnk,nbCyPr2,trTyDog,nbFqs,trTyFq,fqLoc,fqFace,cueFq,cueLoc,nbCyCue,nbCyExt,nbCyRota,cyStaSeq,cyEndPr1C,cyEndPr1A,cyEndBlnk,cyEndPr2C,cyEndPr2A,cyEndSeq,cyEndTr,cyStaRota,cyEndCue,cyEndFadeIn,cyEndExp,cySendEvt,cyEndKbCk1,cyEndKbCk2
1,1,0.766693500000656,0.466714000000138,1,2,1,190,0,0,0,1,2,Left,2,1,Left,0,0,5,1,102,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.416638700000476,0.366714400000092,2,1,1,175,0,0,0,1,2,Left,1,2,Left,0,0,5,1,85,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.38337170000068,0.35013600000002,3,2,1,190,0,0,0,1,2,Right,2,2,Right,0,0,20,1,101,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.633357699999578,0.333378399999674,4,1,1,175,0,0,0,1,2,Left,2,2,Left,0,0,5,1,94,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.383402200000091,0.3500468000002,5,2,1,190,0,0,0,1,2,Right,1,2,Right,0,0,5,1,93,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.366711800000303,0.300048699999934,6,1,1,175,0,0,0,1,2,Left,1,2,Right,0,0,20,1,73,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.350024299999859,0.350043399999777,7,2,1,190,0,0,0,1,2,Right,2,1,Left,0,0,20,1,90,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.433407600000464,0.366662399999768,8,1,1,175,0,0,0,1,2,Left,1,2,Left,0,0,20,1,86,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.433318600000348,0.333399500000269,9,2,1,190,0,0,0,1,2,Right,1,1,Right,0,0,5,1,88,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.3500767000005,0.28337509999983,10,2,1,190,0,0,0,1,2,Right,1,1,Right,0,0,20,1,86,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.366716599999563,0.333380000000034,11,1,1,175,0,0,0,1,2,Right,1,1,Left,0,0,5,1,98,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.333398299999317,0.316724799999974,12,1,1,175,0,0,0,1,2,Left,2,1,Left,0,0,20,1,86,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.366705400000683,0.400048500000594,13,2,1,190,0,0,0,1,2,Right,2,2,Right,0,0,5,1,107,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.516701600000488,0.399994099999276,14,2,1,190,0,0,0,1,2,Left,2,1,Right,0,0,5,1,92,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.416705300000103,0.333418199999869,15,2,1,190,0,0,0,1,2,Left,2,2,Right,0,0,20,1,103,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.416697999999997,0.300043799999912,16,1,1,175,0,0,0,1,2,Left,1,2,Left,0,0,5,1,85,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.416678300000058,0.300034400000186,17,1,1,175,0,0,0,1,2,Right,2,1,Right,0,0,20,1,98,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.383380000000216,0.31671230000029,18,1,1,175,0,0,0,1,2,Right,1,1,Left,0,0,5,1,96,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.350055800000519,0.316747400000168,19,1,1,175,0,0,0,1,2,Right,2,2,Right,0,0,20,1,84,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.333378799999991,0.333399400000417,20,2,1,190,0,0,0,1,2,Left,1,1,Left,0,0,20,1,86,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.300044600000547,0.400063099999898,21,2,1,190,0,0,0,1,1,Right,2,2,Left,0,0,5,1,104,190,451,451,451,450,451,375,0,50,400,451,250,435
