trNb,ptbMissedFlips,ptbFlipsOver17ms,dinTrDur,dinDiffMean,dinDiffStd,dinTrigOffset,trTrig,trFqTy,dinStimOnset,eTimeDIN2,eTimeDIN6,keypressMiss
1,0,0,7502,833.625,0.744023809142845,26,s2Lf,2,8651,835,4169,0
2,0,0,7502,833.625,0.744023809142845,26,s2Lf,2,20784,835,4169,0
3,0,0,7502,833.625,0.744023809142845,26,s2Rf,2,32817,835,4169,0
4,0,0,7502,833.625,0.744023809142845,26,s2Lf,2,45850,835,4169,0
5,0,0,7503,833.625,1.18773493916542,25,s2Rf,2,58732,836,4170,0
6,0,0,7502,833.625,1.06066017177982,26,s2Lf,2,71499,836,4169,0
7,0,0,7502,833.625,0.744023809142845,26,s2Rf,2,83099,835,4169,0
8,0,0,7502,833.625,0.744023809142845,26,s2Lf,2,94899,835,4169,0
9,0,0,7503,833.625,1.06066017177982,26,s2Rf,2,106565,836,4169,0
10,0,0,7502,833.625,1.18773493916542,26,s2Rf,2,118081,836,4170,0
11,0,0,7502,833.625,0.744023809142845,27,s2Rf,2,129865,835,4168,0
12,0,0,7503,833.625,1.40788595317336,25,s2Lf,2,140580,837,4169,0
13,0,0,7502,833.625,0.744023809142845,26,s2Rf,2,152514,835,4169,0
14,0,0,7502,833.625,0.744023809142845,26,s2Lf,2,163697,835,4169,0
15,0,0,7502,833.5,1.19522860933439,26,s2Lf,2,175463,836,4169,0
16,0,0,7503,833.625,1.06066017177982,26,s2Lf,2,190079,836,4169,0
17,0,0,7502,833.625,1.06066017177982,26,s2Rf,2,201779,836,4169,0
18,0,0,7502,833.5,0.925820099772551,27,s2Rf,2,211729,835,4169,0
19,0,0,7503,833.625,1.50594061730772,26,s2Rf,2,224261,837,4169,0
20,0,0,7503,833.625,1.40788595317336,26,s2Lf,2,234994,837,4170,0
21,0,0,7503,833.625,1.40788595317336,25,s1Rf,1,251060,837,4170,0
22,0,0,7503,833.625,1.40788595317336,26,s1Rf,1,260560,837,4169,0
23,0,0,7503,833.625,1.40788595317336,26,s1Rf,1,270843,837,4169,0
24,0,0,7502,833.75,1.03509833901353,26,s1Lf,1,281193,836,4170,0
25,0,0,7502,833.75,1.03509833901353,26,s1Rf,1,292259,836,4170,0
26,0,0,7501,833.5,0.755928946018454,27,s1Rf,1,303610,835,4169,0
27,0,0,7502,833.625,1.18773493916542,26,s1Lf,1,313209,836,4169,0
28,0,0,7502,833.625,0.744023809142845,27,s1Lf,1,323676,835,4169,0
29,0,0,7502,833.625,1.18773493916542,26,s1Rf,1,334592,836,4169,0
30,0,0,7502,833.75,1.03509833901353,26,s1Lf,1,344191,836,4170,0
31,0,0,7503,833.625,1.50594061730772,26,s1Rf,1,353974,837,4170,0
32,0,0,7503,833.625,1.18773493916542,26,s1Rf,1,364524,836,4169,0
33,0,0,7503,833.625,1.06066017177982,26,s1Lf,1,375457,836,4169,0
34,0,0,7502,833.625,1.06066017177982,26,s1Lf,1,385007,836,4169,0
35,0,0,7503,833.625,1.50594061730772,26,s1Lf,1,394523,837,4169,0
36,0,0,7502,833.625,0.916125381312904,27,s1Lf,1,407290,835,4169,0
37,0,0,7501,833.375,1.30247018062932,27,s1Rf,1,417390,835,4168,0
38,0,0,7503,833.875,1.45773797371133,25,s1Lf,1,427021,837,4170,0
39,0,0,7503,833.625,0.916125381312904,26,s1Rf,1,436122,835,4168,0
40,0,0,7502,833.625,0.916125381312904,26,s1Lf,1,445905,835,4168,0
