trNb,ptbMissedFlips,ptbFlipsOver17ms,dinTrDur,dinDiffMean,dinDiffStd,dinTrigOffset,trTrig,trFqTy,dinStimOnset,eTimeDIN2,eTimeDIN6,keypressMiss
1,0,0,7502,833.625,1.06066017177982,26,s1Lf,1,4941,836,4169,1
2,0,0,7503,833.625,1.18773493916542,26,s1Lf,1,22290,836,4170,0
3,0,0,7503,833.75,1.38873014965883,25,s1Rf,1,33856,837,4170,0
4,0,0,7503,833.75,1.48804761828569,26,s1Rf,1,44856,837,4169,0
5,0,0,7501,833.5,0.925820099772551,27,s1Rf,1,55240,835,4169,0
6,0,0,7503,833.75,1.38873014965883,26,s1Lf,1,71305,837,4170,1
7,0,0,7502,833.5,1.30930734141595,26,s1Rf,1,83655,836,4169,0
8,0,0,7501,833.375,1.30247018062932,27,s1Lf,1,97156,835,4168,0
9,0,0,7502,833.875,1.45773797371133,25,s1Lf,1,108170,837,4170,0
10,0,0,7501,833.625,1.18773493916542,27,s1Rf,1,122488,835,4167,0
11,0,0,7503,833.625,1.76776695296637,26,s1Rf,1,137653,837,4170,0
12,0,0,7502,833.5,1.19522860933439,26,s1Rf,1,149553,836,4168,0
13,0,0,7501,833.5,0.925820099772551,26,s1Lf,1,162603,835,4169,0
14,0,0,7502,833.625,0.744023809142845,26,s1Lf,1,176602,835,4169,0
15,0,0,7502,833.625,0.744023809142845,26,s1Rf,1,190935,835,4169,0
16,0,0,7502,833.625,1.06066017177982,26,s1Lf,1,202751,836,4169,0
17,0,0,7502,833.625,0.916125381312904,26,s1Rf,1,215718,835,4168,0
18,0,0,7502,833.5,0.925820099772551,26,s1Lf,1,228351,835,4168,1
19,0,0,7502,833.5,1.19522860933439,26,s1Lf,1,241000,836,4169,0
20,0,0,7502,833.625,1.18773493916542,26,s1Rf,1,253133,836,4169,0
21,0,0,7503,833.75,1.03509833901353,25,s2Lf,2,279915,836,4170,0
22,0,0,7502,833.625,0.744023809142845,26,s2Rf,2,291882,835,4169,0
23,0,0,7502,833.625,1.06066017177982,26,s2Lf,2,303782,836,4168,0
24,0,0,7503,833.625,0.744023809142845,26,s2Lf,2,316198,835,4169,0
25,0,0,7503,833.625,1.06066017177982,26,s2Rf,2,329464,836,4169,0
26,0,0,7502,833.625,0.744023809142845,26,s2Lf,2,344314,835,4169,0
27,0,0,7502,833.625,0.744023809142845,26,s2Lf,2,357247,835,4169,0
28,0,0,7503,833.75,1.38873014965883,25,s2Rf,2,370029,837,4170,0
29,0,0,7503,833.625,1.06066017177982,26,s2Lf,2,386946,836,4169,0
30,0,0,7502,833.625,1.06066017177982,26,s2Rf,2,398979,836,4169,0
31,0,0,7503,833.75,1.38873014965883,25,s2Rf,2,415311,837,4170,0
32,0,0,7502,833.625,1.06066017177982,26,s2Rf,2,425645,836,4169,0
33,0,0,7502,833.5,0.755928946018454,26,s2Lf,2,439328,835,4169,0
34,0,0,7501,833.5,0.925820099772551,27,s2Rf,2,451145,835,4169,0
35,0,0,7502,833.625,1.06066017177982,26,s2Rf,2,462794,836,4169,0
36,0,0,7503,833.625,1.06066017177982,26,s2Lf,2,474560,836,4169,0
37,0,0,7502,833.625,1.06066017177982,26,s2Rf,2,487060,836,4169,1
38,0,0,7503,833.625,1.30247018062932,26,s2Lf,2,498643,836,4170,0
39,0,0,7502,833.625,1.18773493916542,26,s2Lf,2,510259,836,4169,0
40,0,0,7502,833.625,1.06066017177982,26,s2Rf,2,521359,836,4169,0
