keypressFaceRota1,keypressFaceRota2,rtFaceRota1,rtFaceRota2,tr,trTy,nbPrs,nbCyPr1,nbCyBlnk,nbCyPr2,trTyDog,nbFqs,trTyFq,fqLoc,fqFace,cueFq,cueLoc,nbCyCue,nbCyExt,nbCyRota,cyStaSeq,cyEndPr1C,cyEndPr1A,cyEndBlnk,cyEndPr2C,cyEndPr2A,cyEndSeq,cyEndTr,cyStaRota,cyEndCue,cyEndFadeIn,cyEndExp,cySendEvt,cyEndKbCk1,cyEndKbCk2
1,1,0.333364399999482,0.516707599999791,1,1,1,175,0,0,0,1,2,Left,1,2,Left,0,0,5,1,97,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.400026500000422,0.366706000000704,2,1,1,175,0,0,0,1,2,Left,1,1,Right,0,0,5,1,102,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.300074100000529,0.583373599999504,3,1,1,175,0,0,0,1,2,Left,1,1,Right,0,0,20,1,94,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.383376099999623,0.416710399999829,4,2,1,190,0,0,0,1,2,Right,2,1,Right,0,0,20,1,104,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.350044300000263,0.416707399999723,5,1,1,175,0,0,0,1,2,Right,1,2,Right,0,0,5,1,99,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.300041699999383,0.400014799999553,6,1,1,175,0,0,0,1,2,Left,2,1,Left,0,0,5,1,83,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.316716799999995,0.816710799999782,7,2,1,190,0,0,0,1,2,Right,2,1,Right,0,0,5,1,90,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.350043700000242,0.400044400000297,8,2,1,190,0,0,0,1,2,Left,2,2,Right,0,0,5,1,82,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.333397700000205,0.650038000000677,9,2,1,190,0,0,0,1,2,Left,1,2,Right,0,0,20,1,87,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.333365800000138,0.500036899999941,10,2,1,190,0,0,0,1,2,Left,1,2,Left,0,0,5,1,101,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.383372600000257,0.400039800000741,11,1,1,175,0,0,0,1,2,Right,1,2,Left,0,0,20,1,94,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.400039300000572,0.416707600000336,12,2,1,190,0,0,0,1,2,Right,1,2,Right,0,0,5,1,92,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.333374799999547,0.366714099999626,13,1,1,175,0,0,0,1,2,Left,1,1,Left,0,0,20,1,98,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.300235900000189,0.500037000000702,14,2,1,190,0,0,0,1,2,Right,1,2,Left,0,0,20,1,95,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.316673700000138,0.500107799999569,15,1,1,175,0,0,0,1,2,Right,2,2,Right,0,0,5,1,75,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.400048000000425,0.566681399999652,16,2,1,190,0,0,0,1,2,Left,1,1,Right,0,0,5,1,93,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.366632299999765,0.383384300000216,17,2,1,190,0,0,0,1,2,Right,2,1,Left,0,0,20,1,98,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.316710600000079,0.383376799999496,18,2,1,190,0,0,0,1,2,Left,1,1,Right,0,0,20,1,86,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.400035800000296,0.333505399999922,19,1,1,175,0,0,0,1,2,Right,1,1,Left,0,0,20,1,80,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.416733000000022,0.400037299999894,20,2,1,190,0,0,0,1,2,Right,2,2,Right,0,0,5,1,92,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.3833738000003,0.650038100000529,21,1,1,175,0,0,0,1,1,Left,1,2,Left,0,0,5,1,90,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.383385699999963,0.633369700000003,22,2,1,190,0,0,0,1,1,Right,1,1,Left,0,0,20,1,90,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.333388699999887,0.433374600000207,23,1,1,175,0,0,0,1,1,Left,2,2,Left,0,0,5,1,84,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.383383000000322,0.433403299999554,24,1,1,175,0,0,0,1,1,Left,2,1,Left,0,0,20,1,80,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.500176900000042,0.400051699999494,25,2,1,190,0,0,0,1,1,Left,1,1,Left,0,0,5,1,82,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.333377599999949,0.516710099999727,26,2,1,190,0,0,0,1,1,Right,1,2,Right,0,0,5,1,80,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.350063800000498,0.366702500000429,27,2,1,190,0,0,0,1,1,Right,1,1,Left,0,0,5,1,105,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.350040000000263,0.366698800000449,28,1,1,175,0,0,0,1,1,Right,2,2,Left,0,0,20,1,92,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.333369300000413,0.366812700000082,29,1,1,175,0,0,0,1,1,Right,2,2,Left,0,0,5,1,94,175,451,451,451,450,451,375,0,50,400,451,235,435
1,1,0.383378700000321,0.350052000000687,30,1,1,175,0,0,0,1,1,Left,2,1,Right,0,0,20,1,99,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.349963099999513,0.366751000000477,31,1,1,175,0,0,0,1,1,Right,2,1,Right,0,0,20,1,78,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.350052799999503,0.383381499999814,32,1,1,175,0,0,0,1,1,Left,2,1,Right,0,0,20,1,86,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.466698299999734,0.36671109999952,33,1,1,175,0,0,0,1,1,Right,2,2,Left,0,0,20,1,99,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.383397499999774,0.466704499999651,34,2,1,190,0,0,0,1,1,Right,2,2,Left,0,0,5,1,80,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.350042900000517,0.433376500000122,35,2,1,190,0,0,0,1,1,Left,2,1,Left,0,0,5,1,109,190,451,451,451,450,451,375,0,50,400,451,250,435
1,1,0.350064500000371,0.683387000000039,36,2,1,190,0,0,0,1,1,Left,2,1,Left,0,0,20,1,80,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.366723799999818,0.63338929999918,37,1,1,175,0,0,0,1,1,Right,1,2,Right,0,0,20,1,93,175,451,451,451,450,451,390,0,50,400,451,235,450
1,1,0.850024800000028,0.816680599999927,38,2,1,190,0,0,0,1,1,Left,1,1,Right,0,0,20,1,107,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.31672030000027,0.383423000000221,39,2,1,190,0,0,0,1,1,Right,2,2,Right,0,0,20,1,88,190,451,451,451,450,451,390,0,50,400,451,250,450
1,1,0.300046399999701,0.383372799999961,40,1,1,175,0,0,0,1,1,Left,2,2,Right,0,0,5,1,76,175,451,451,451,450,451,375,0,50,400,451,235,435
