tr,trSta,fixDur,fixSta,fixEnd,rAOI,eTimeFixSta,eTimeFixEnd
1,4993888,7500,4993888,5001386,3,0,7498
2,5006072,7500,5006072,5013570,3,0,7498
3,5019222,7500,5019222,5026720,3,0,7498
4,5031106,7500,5031106,5038604,3,0,7498
5,5041956,7500,5041956,5049454,3,0,7498
6,5053758,7500,5053758,5061256,3,0,7498
7,5065190,3742,5065190,5068932,3,0,3742
7,5065190,3732,5068958,5072688,3,3768,7498
8,5076340,7500,5076340,5083838,3,0,7498
9,5088440,7500,5088440,5095938,3,0,7498
10,5099242,7500,5099242,5106740,3,0,7498
11,5110124,7500,5110124,5117622,3,0,7498
12,5121326,7500,5121326,5128824,3,0,7498
13,5132608,7500,5132608,5140106,3,0,7498
14,5143642,7500,5143642,5151140,3,0,7498
15,5156192,7500,5156192,5163690,3,0,7498
16,5166542,7500,5166542,5174040,3,0,7498
17,5177992,7500,5177992,5185490,3,0,7498
18,5188894,7500,5188894,5196392,3,0,7498
19,5199360,7500,5199360,5206858,3,0,7498
20,5209844,7500,5209844,5217342,3,0,7498
21,5228978,7500,5228978,5236476,2,0,7498
22,5241362,4222,5241362,5245584,2,0,4222
22,5241362,3258,5245604,5248860,2,4242,7498
23,5252294,7500,5252294,5259792,2,0,7498
24,5262712,7500,5262712,5270210,2,0,7498
25,5274262,7500,5274262,5281760,2,0,7498
26,5288112,7500,5288112,5295610,2,0,7498
27,5300130,7500,5300130,5307628,2,0,7498
28,5310996,3838,5310996,5314834,2,0,3838
28,5310996,3646,5314850,5318494,2,3854,7498
29,5324130,7500,5324130,5331628,2,0,7498
30,5335246,7500,5335246,5342744,2,0,7498
31,5346448,7500,5346448,5353946,2,0,7498
32,5360880,7500,5360880,5368378,2,0,7498
33,5372582,4944,5372584,5377528,2,2,4946
34,5383182,7500,5383182,5390680,2,0,7498
35,5393132,7500,5393132,5400630,2,0,7498
36,5404032,7492,5404040,5411530,2,8,7498
37,5416832,2270,5416832,5419102,2,0,2270
37,5416832,2546,5421786,5424330,2,4954,7498
38,5433950,7500,5433950,5441448,2,0,7498
39,5447934,6238,5447934,5454172,2,0,6238
40,5459250,7500,5459250,5466750,2,0,7500
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
