trNb,ptbMissedFlips,ptbFlipsOver17ms,dinTrDur,dinDiffMean,dinDiffStd,dinTrigOffset,trTrig,trFqTy,dinStimOnset,eTimeDIN2,eTimeDIN6,keypressMiss
1,0,0,7502,833.625,0.744023809142845,26,s2Lf,2,6372,835,4169,0
2,0,0,7502,833.625,0.744023809142845,26,s2Lf,2,18555,835,4169,0
3,0,0,7502,833.625,1.06066017177982,25,s2Lf,2,31704,836,4168,0
4,0,0,7503,833.625,1.06066017177982,25,s2Rf,2,43587,836,4169,0
5,0,0,7503,833.625,1.50594061730772,24,s2Rf,2,54436,837,4169,0
6,0,0,7502,833.625,1.06066017177982,25,s2Lf,2,66236,836,4169,0
7,0,0,7501,833.625,0.744023809142845,26,s2Rf,2,77670,835,4168,0
8,0,0,7502,833.625,0.744023809142845,25,s2Lf,2,88819,835,4169,0
9,0,0,7501,833.5,0.755928946018454,25,s2Lf,2,100919,835,4169,0
10,0,0,7502,833.625,0.744023809142845,26,s2Lf,2,111719,835,4169,0
11,0,0,7502,833.625,1.18773493916542,25,s2Rf,2,122601,836,4169,0
12,0,0,7502,833.625,0.744023809142845,25,s2Rf,2,133801,835,4169,0
13,0,0,7502,833.625,1.06066017177982,25,s2Lf,2,145084,836,4169,0
14,0,0,7502,833.625,1.06066017177982,25,s2Rf,2,156117,836,4169,0
15,0,0,7501,833.625,0.744023809142845,25,s2Rf,2,168667,835,4169,0
16,0,0,7503,833.625,1.06066017177982,25,s2Lf,2,179016,836,4169,0
17,0,0,7502,833.625,0.744023809142845,25,s2Rf,2,190466,835,4169,0
18,0,0,7502,833.625,1.06066017177982,25,s2Lf,2,201366,836,4168,0
19,0,0,7502,833.625,1.06066017177982,25,s2Rf,2,211832,836,4169,0
20,0,0,7502,833.625,1.06066017177982,25,s2Rf,2,222315,835,4169,0
21,0,0,7502,833.625,1.06066017177982,25,s1Lf,1,241448,835,4169,0
22,0,0,7502,833.625,0.744023809142845,25,s1Rf,1,253831,835,4169,0
23,0,0,7502,833.625,1.18773493916542,25,s1Lf,1,264764,836,4169,0
24,0,0,7502,833.625,0.744023809142845,26,s1Lf,1,275181,835,4169,0
25,0,0,7502,833.5,0.755928946018454,26,s1Lf,1,286731,835,4168,0
26,0,0,7502,833.625,0.744023809142845,26,s1Rf,1,300580,835,4169,0
27,0,0,7502,833.5,1.0690449676497,25,s1Rf,1,312596,836,4169,0
28,0,0,7502,833.5,0.755928946018454,26,s1Rf,1,323463,835,4168,0
29,0,0,7503,833.75,1.03509833901353,25,s1Rf,1,336595,836,4170,0
30,0,0,7502,833.625,0.744023809142845,26,s1Lf,1,347712,835,4168,0
31,0,0,7502,833.5,0.755928946018454,26,s1Rf,1,358912,835,4168,0
32,0,0,7501,833.5,0.925820099772551,26,s1Lf,1,373345,835,4169,0
33,0,0,7503,833.625,1.06066017177982,25,s1Rf,1,385044,836,4169,0
34,0,0,7502,833.5,1.0690449676497,26,s1Rf,1,395644,836,4168,0
35,0,0,7503,833.625,1.06066017177982,25,s1Lf,1,405593,836,4169,0
36,0,0,7502,833.625,1.18773493916542,25,s1Lf,1,416493,836,4169,0
37,0,0,7502,833.625,0.744023809142845,26,s1Rf,1,429293,835,4169,0
38,0,0,7502,833.625,0.744023809142845,26,s1Lf,1,446409,835,4169,0
39,0,0,7503,833.625,1.06066017177982,26,s1Rf,1,460392,836,4169,0
40,0,0,7503,833.625,1.06066017177982,25,s1Lf,1,471708,836,4169,0
