tr,intNum,intDur_Ms,intDurCA_Ms,intDurOA_Ms
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,1,22,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,14,302,80,108
22,20,412,138,122
23,1,18,0,0
24,3,56,0,0
25,8,148,36,18
26,0,0,0,0
27,0,0,0,0
28,9,160,36,18
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,16,300,156,38
33,1,12,0,12
34,2,42,0,0
35,3,58,0,16
36,8,154,38,18
37,2,30,0,30
38,4,60,0,18
39,10,170,20,62
40,0,0,0,0
